country,labeled_samples,R2_Average_A,R2_log_Scope1_A,R2_log_Scope2_A,R2_log_Scope3_upstream_A,R2_log_Scope3_downLA_A,R2_log_Scope3_prod_A,R2_log_Scope_total_A,R2_Average_CT,R2_log_Scope1_CT,R2_log_Scope2_CT,R2_log_Scope3_upstream_CT,R2_log_Scope3_downLA_CT,R2_log_Scope3_prod_CT,R2_log_Scope_total_CT
THA,1155,0.8910162173378652,0.9356617649180304,0.8037574459779827,0.9678432004757384,0.7964568686451178,0.8791348435266606,0.9632431804836624,0.6682730460906644,0.7278283255899035,0.699205482991458,0.8402301548971624,0.6917839827153458,0.2476410505281233,0.8029492798219937
CHE,1031,0.8620741729689861,0.913616706215234,0.8989249282053062,0.975793843920572,0.6479186726868318,0.7578438074611568,0.978347079324816,0.7316874094623537,0.8272558048733148,0.7947116421878205,0.870064201294021,0.6129839457132873,0.4002268646868758,0.884881998018803
BRA,1020,0.7821078462374204,0.8711461257310145,0.7948713623361623,0.9468192775144838,0.5281338986549949,0.6105508520477354,0.9411255611401308,0.6050191096067069,0.7582481578171778,0.5467706084838442,0.8279927530161333,0.3602331801028973,0.2966206581419053,0.8402493000782839
IDN,942,0.842390076846587,0.8580458841722591,0.751514848042609,0.943783192862247,0.7460234177129565,0.8585324989336449,0.8964406193558049,0.6650016682535597,0.7771534512683402,0.5877266857412091,0.9058549236092458,0.6673589540550877,0.1731552199448885,0.8787607749025867
SGP,817,0.8102381778806887,0.8047135284902882,0.7838311423285034,0.9616675531766014,0.6534543420264853,0.7388567907863832,0.918905710475871,0.636215139675867,0.5617697815693341,0.5825617151611651,0.8520679340720119,0.6157594052561159,0.3922276447727905,0.8129043572237842
SAU,806,0.9177843905644018,0.94612541817171,0.931067415405236,0.967720518310328,0.8022195888600337,0.8896476195745622,0.9699257830645402,0.7787152948336703,0.8825086305298651,0.8696031719037698,0.8976254141744783,0.6011141684503132,0.5052893441476971,0.9161510397958986
ISR,784,0.7740935556545616,0.8625866903744277,0.3483036171627549,0.944042249998446,0.7761444809163616,0.7937900189703411,0.9196942765050384,0.6622134228488722,0.8104287725358633,0.6693296085973346,0.8147780460128897,0.327459796041362,0.518343972187893,0.8329403417178911
ZAF,713,0.8241072460039544,0.9183816956256092,0.935300094971335,0.9567106432662276,0.4589825940858956,0.7236389334358929,0.9516295146387668,0.6213066872998859,0.7631904232027742,0.7596019386732333,0.7605774915908734,0.4808536797333552,0.1656510198540566,0.7979655707450226
ITA,683,0.8384568537845271,0.9355639439506458,0.9322092370143434,0.9775008993143696,0.5039396906421232,0.6995869411544545,0.9819404106312262,0.7138875039355903,0.8536830155320657,0.8279361735080873,0.888371670311702,0.5598844964600047,0.2545731543535838,0.8988765134480979
TUR,614,0.7698772254107314,0.8461325939146079,0.8089483531435817,0.9265316361761372,0.4020100101095272,0.7464413722698058,0.8891993868507284,0.4724705010183345,0.4650069631367987,0.5452001755942146,0.6342526190313642,0.4630799126124519,0.238263778813825,0.4890195569213524
NOR,486,0.7746478335959198,0.7451627721465931,0.7873751410730827,0.9403103576154548,0.7202262842371443,0.5185699626272495,0.9362424838759944,0.625401326616353,0.7445386308357517,0.5533753725905186,0.7684905167426059,0.4356284525900221,0.4664620884070124,0.7839128985322067
NLD,444,0.791220330029668,0.8215755839012809,0.6678757463138207,0.9631889576197676,0.520693608116299,0.8156680297971383,0.9583200544297008,0.6066342157044575,0.5572088499770574,0.4399852265936227,0.8547142259523501,0.6746616360163427,0.278759761015631,0.8344755946717413
ESP,437,0.8378761031582139,0.8738389183058557,0.8713878454885478,0.917248285619386,0.6519597152007106,0.7636226043927974,0.949199249941986,0.6534142967998555,0.6856589329988478,0.7523154183796138,0.7564351910751983,0.6421183244111281,0.2753868953331091,0.8085710186012358
MEX,413,0.8252469098598877,0.9073673306271892,0.8176676567471158,0.961783053881072,0.7136472520554507,0.6452815741852373,0.9057345916632602,0.6056606929115952,0.7599527136577913,0.6385128120206975,0.8048008872630974,0.2757318105612194,0.3782254853128806,0.7767404486538855
PHL,398,0.8057242291083938,0.873596749774575,0.8335870479091025,0.943220540954984,0.6253019737828163,0.6589273810102181,0.8997116812186671,0.5929782126450452,0.6099324684199503,0.6699232362401373,0.7474936565817132,0.4505822439865654,0.4089005777627549,0.6710370928791503
POL,352,0.7698920211840328,0.8646648202400717,0.6655658703740555,0.9061757866579994,0.688386040721382,0.6158867205935792,0.8786728885171082,0.476007466323147,0.595000646654639,0.4572750721072642,0.5712127178771106,0.330481562331426,0.3402560802667425,0.5618187187016999
FIN,346,0.7988327804870016,0.7556737392252119,0.923493069188638,0.9521921399659516,0.5359117331266774,0.6764444923493146,0.9492815090662156,0.7268059072120732,0.7635756773953274,0.8151323226239597,0.8430046358367533,0.6210521947831034,0.4492688805730169,0.8688017320602787
BEL,324,0.815096854446618,0.9175954117275428,0.8064544142274604,0.9183251998633984,0.5841002469581023,0.7272571679754851,0.9368486859277186,0.6216500052287683,0.7855145051994938,0.7406709762613448,0.8132138088758959,0.0408818550915953,0.5094470972927884,0.8401717886514921
NZL,307,0.7728154850003679,0.8734451540894141,0.6849549647550687,0.9446410608975366,0.5514209257795893,0.6691944586037848,0.9132363458768136,0.4438441823605192,0.3723312911322263,0.1824210971033891,0.7650284922349502,0.4201530894791289,0.2610969880526858,0.6620341361607349
PAK,303,0.7554177768652247,0.8558071244191129,0.7499259019916731,0.6986285229569951,0.6514732768153042,0.8014258599333419,0.7752459750749213,0.6712890488877207,0.8081642296474765,0.4002621109044602,0.7535312387011912,0.7141947589423471,0.5380542606823288,0.8135276944485198
DNK,291,0.7514825492566956,0.8514255004299355,0.8286601298824956,0.9716287413797332,0.7121104876286178,0.1858503142540029,0.9592201219653884,0.6045345349180672,0.7522854680806886,0.6698552927506445,0.6785817773739977,0.4008340078779977,0.4109906676583761,0.7146599957666981
IRL,288,0.8265810818355378,0.8943213826901927,0.8579880500094015,0.9557087575237718,0.7093176802015901,0.6046778856494186,0.9374727349388512,0.6592039527044382,0.7588175118444467,0.6863182717089382,0.8434263448326469,0.6499002234697924,0.1654917735998193,0.8512695907709853
RUS,257,0.7380459397560326,0.8498257402896883,0.7079868833277388,0.864782517676983,0.3411543216758089,0.8196382137984354,0.8448879617675413,0.6123386976835914,0.7730610247208807,0.7626477086941978,0.7213916006540446,0.6849206750714043,0.0514894194971007,0.6805217574639201
ARE,236,0.7171183441371496,0.7637763231342058,0.6869822134832464,0.8986870616718234,0.5176475329184169,0.5554496210488293,0.8801673125663758,0.4590606759500344,0.7200063572945269,0.4878653475851968,0.535472815700099,0.0399241439659509,0.3673325951085604,0.6037627960458727
BMU,232,0.7039791045633549,0.7859057871632984,0.5864120867697246,0.9367043264251464,0.3192003214607658,0.7280925252200223,0.867559580341172,0.5165182309977968,0.7748912629584281,0.2555434725653904,0.6997353532789186,0.5276815774361319,0.0827655925545658,0.7584921271933465
