model,country,experiment_type,R2_Average,MAE_Average,R2_Average_raw,MAE_Average_raw,ensemble_strategy,ensemble_selected_lambda,ensemble_val_mean_r2,pretrain_final_loss,finetune_final_val_r2,source_samples,target_train_samples,target_test_samples,freeze_encoder,pretrain_lr,finetune_lr,finetune_patience,finetune_weight_decay,d_model,n_layers,temperature,n_source,n_train,n_val,n_test,n_total,years_min,years_max,n_years,R2_target_0,R2_target_1,R2_target_2,R2_target_3,R2_target_4,R2_target_5,R2_target_0_raw,R2_target_1_raw,R2_target_2_raw,R2_target_3_raw,R2_target_4_raw,R2_target_5_raw,seed,experiment_code
CT-CCTL-EMIT,ARG,Cross_Time_Contrastive_Learning,-0.1329210349650942,1.7208215348684888,-20.04313619135814,7.969272753906746,ct_mlp_stack,0.0001,0.5712883717239868,,-3.554010391235352,1471238,30,10,False,0.0003,1e-05,60,0.0001,384,4,0.07,1471238,30,10,10,50,2019,2023,5,0.9010288680209868,0.5933095233113086,0.5403620737350436,0.5889294072994682,-4.20993127223977,0.7887751900823978,-2.804444613530015,-21.12239987534544,-53.22139090154991,-0.6279691793759774,-7.206195078085692,-35.276417500261815,42,C_CT
CT-CCTL-EMIT,JPN,Cross_Time_Contrastive_Learning,0.7127552461126306,1.1279378528219064,0.6431382524386969,1.2574990545950435,ct_mlp_stack,1.0,0.7351128120791479,,0.7399324774742126,1370524,6732,2113,False,0.0003,1e-05,60,0.0001,384,4,0.07,1370524,6732,2254,2113,11099,2019,2023,5,0.8062041788783741,0.837029549500028,0.9112093968044376,0.1981027661836933,0.6006388214891913,0.9233467638200596,0.7783781613660312,0.7940655027563406,0.8715002461626542,0.018897248914962,0.5065641525687707,0.8894242028634234,42,C_CT
CT-CCTL-EMIT,MYS,Cross_Time_Contrastive_Learning,0.6601547095343379,1.2700076621598275,0.5955526758274555,1.420571964779133,ct_mlp_stack,1.0,0.6823665404054458,,0.7057849168777466,1445057,704,222,False,0.0003,1e-05,60,0.0001,384,4,0.07,1445057,704,251,222,1177,2019,2023,5,0.7395633870265534,0.648305037964813,0.8164918213043221,0.4728622647995457,0.4456381217797192,0.8380676243310736,0.665663555099539,0.5541352851224002,0.7926027751734777,0.2979443732901552,0.4532696702206367,0.809700396058524,42,C_CT
CT-CCTL-EMIT,BRA,Cross_Time_Contrastive_Learning,0.6050191096067069,1.6089703043997357,0.5085176559642152,1.7911283094276145,ct_mlp_stack,0.0,0.5813780241099223,,0.6277922987937927,1462220,577,204,False,0.0003,1e-05,60,0.0001,384,4,0.07,1462220,577,239,204,1020,2019,2023,5,0.7582481578171778,0.5467706084838442,0.8279927530161333,0.2966206581419053,0.3602331801028973,0.8402493000782839,0.6816954816015058,0.4365736393022645,0.7361023674413709,0.1052025669679739,0.3046350092691814,0.7868968712029948,42,C_CT
CT-CCTL-EMIT,ISR,Cross_Time_Contrastive_Learning,0.6622134228488722,1.184832709144125,0.5623560171407119,1.4970992624714403,ct_mlp_stack,1.0,0.7007090452908565,,0.6471541523933411,1459969,440,168,False,0.0003,1e-05,60,0.0001,384,4,0.07,1459969,440,176,168,784,2019,2023,5,0.8104287725358633,0.6693296085973346,0.8147780460128897,0.518343972187893,0.327459796041362,0.8329403417178911,0.6246068509083277,0.5882094023852682,0.723354985280227,0.3514343570338939,0.330265549605787,0.7562649576307674,42,C_CT
CT-CCTL-EMIT,MEX,Cross_Time_Contrastive_Learning,0.6056606929115952,1.70101026301059,0.3649099159329068,2.298940279067972,ct_mlp_stack,0.01,0.625492877538767,,0.4284577965736389,1469202,258,74,False,0.0003,1e-05,60,0.0001,384,4,0.07,1469202,258,81,74,413,2019,2023,5,0.7599527136577913,0.6385128120206975,0.8048008872630974,0.3782254853128806,0.2757318105612194,0.7767404486538855,0.6519908778760304,0.4376479703602719,0.6725677822158862,-0.2124596129864484,0.1851166984872324,0.4545957796444682,42,C_CT
CT-CCTL-EMIT,PHL,Cross_Time_Contrastive_Learning,0.5929782126450452,1.4153465624919397,-0.3163122085148089,2.8506678048805854,ct_mlp_stack,0.1,0.6206816911344156,,0.080963909626007,1466613,238,72,False,0.0003,1e-05,60,0.0001,384,4,0.07,1466613,238,88,72,398,2019,2023,5,0.6099324684199503,0.6699232362401373,0.7474936565817132,0.4089005777627549,0.4505822439865654,0.6710370928791503,0.2978060471845097,-0.3642288555460944,-0.005569960447455,-0.6576716064076784,-0.0261477473439735,-1.1420611285281623,42,C_CT
CT-CCTL-EMIT,IRL,Cross_Time_Contrastive_Learning,0.6592039527044382,1.4187534467008376,-0.3687070188088757,3.172513019983415,ct_mlp_stack,0.0,0.6113161971187866,,0.4027547240257263,1469939,177,54,False,0.0003,1e-05,60,0.0001,384,4,0.07,1469939,177,57,54,288,2019,2023,5,0.7588175118444467,0.6863182717089382,0.8434263448326469,0.1654917735998193,0.6499002234697924,0.8512695907709853,0.4510210260097421,-0.3590366569681344,-0.3645175111601719,0.0047829734725328,0.0571569062214381,-2.0016488504286607,42,C_CT
CT-CCTL-EMIT,GRC,Cross_Time_Contrastive_Learning,0.4806818104303024,1.9182695028969448,-5.68802399723361,5.856131299807314,ct_mlp_stack,0.0,0.4472428681854177,,-1.462021827697754,1467609,117,38,False,0.0003,1e-05,60,0.0001,384,4,0.07,1467609,117,44,38,199,2019,2023,5,0.6920131329111352,0.3280614672524456,0.5285828728308608,0.4301811825835787,0.2449714400287481,0.6602807669750457,-0.943499582393073,-5.89407574975798,-11.118438707806783,-0.251539197563644,-0.8626349970521852,-15.05795574882799,42,C_CT
CT-CCTL-EMIT,QAT,Cross_Time_Contrastive_Learning,0.5662124459124092,1.3295938533517475,-7.185720760051194,5.910770843763925,ct_mlp_stack,1.0,0.7276992171387637,,-2.4486024379730225,1472516,100,29,False,0.0003,1e-05,60,0.0001,384,4,0.07,1472516,100,33,29,162,2019,2023,5,0.7973187309657315,0.5313317913596156,0.5258582544841344,0.5336363759313327,0.3846453467332085,0.6244841760004324,-0.7254147760640084,-9.90585626256096,-14.485761337062636,-1.225412953287872,-1.017952149268365,-15.753927082063331,42,C_CT
