country,experiment_type,experiment_type_full,R2_Average,MAE_Average,RMSE_Average,training_samples,finetune_samples,log_Scope1,log_Scope2,log_Scope3_upstream,log_Scope3_downLA,log_Scope3_prod,log_Scope_total
SWE,Transfer_Learning_FTT,Transfer_Learning_FTT,0.6966513395309448,1.2954914768536885,1.836667568784673,83868,1355,0.6491391658782959,0.762955904006958,0.9152661561965942,0.48790228366851807,0.45048683881759644,0.9141576886177063
SWE,Transfer_Learning_FTT_Developed,Transfer_Learning_FTT_Developed,0.6601864794890085,1.3249866664409637,1.9247310667549964,57741,1355,0.6045190095901489,0.7442947626113892,0.9088461995124817,0.3144313097000122,0.48631203174591064,0.9027155637741089
SWE,D_full,Transfer_Learning_FTT_Full,0.7405989269415537,1.1151627004146576,1.6705111920532323,83868,1355,0.6639657020568848,0.7537465691566467,0.9302190542221069,0.5119526386260986,0.6587693691253662,0.9249402284622192
SWE,D_full_dev,Transfer_Learning_FTT_Full_Developed,0.6974263886610667,1.2183080315589905,1.821350818875369,57741,1355,0.6612462997436523,0.7529162168502808,0.9159177541732788,0.41164475679397583,0.5320228934288025,0.9108104109764099
NOR,C,Transfer_Learning,0.840061237414678,1.0795563260714214,1.5443149973764658,84737,486,0.8541366457939148,0.7482054233551025,0.9167963862419128,0.8055390119552612,0.7962498664855957,0.9194400906562805
NOR,C_dev,Transfer_Learning_Developed,0.8357536395390829,1.0720493495464325,1.563579509650032,58610,486,0.8519343733787537,0.755012571811676,0.9222463965415955,0.7616814374923706,0.7933762073516846,0.9302708506584167
NOR,Transfer_Learning_FTT,Transfer_Learning_FTT,0.6356035570303599,1.7148876388867695,2.332164462304442,84737,486,0.7253918647766113,0.5683317184448242,0.9063683152198792,0.35520780086517334,0.34896862506866455,0.9093530178070068
NOR,Transfer_Learning_FTT_Developed,Transfer_Learning_FTT_Developed,0.6401806573073069,1.7199034988880157,2.267114571175856,58610,486,0.7715407609939575,0.5918501615524292,0.901400089263916,0.15240895748138428,0.524111270904541,0.8997727036476135
NOR,D_full,Transfer_Learning_FTT_Full,0.749316026767095,1.3263410528500874,1.9440700377249371,84737,486,0.7463870048522949,0.7234843373298645,0.9010115265846252,0.5465165972709656,0.6784754991531372,0.9000211954116821
NOR,D_full_dev,Transfer_Learning_FTT_Full_Developed,0.7167090773582458,1.4113474388917286,2.031690426024866,58610,486,0.7702224850654602,0.6230148077011108,0.860145092010498,0.47075897455215454,0.7099603414535522,0.8661527633666992
ARE,C,Transfer_Learning,0.812582274278005,0.9607128401597341,1.3602272826779827,84987,236,0.8759282231330872,0.8188951015472412,0.8740906119346619,0.6820394992828369,0.7043167352676392,0.9202234745025635
ARE,C_dev,Transfer_Learning_Developed,0.8206132849057516,0.9796578039725622,1.3310384570609657,58860,236,0.8647206425666809,0.8070854544639587,0.8733350038528442,0.7272320985794067,0.7268110513687134,0.9244954586029053
ARE,Transfer_Learning_FTT,Transfer_Learning_FTT,0.6475259065628052,1.2827311058839161,1.8561995254389168,84987,236,0.8228198289871216,0.6887761354446411,0.8181414604187012,0.37670356035232544,0.3094252943992615,0.8692891597747803
ARE,Transfer_Learning_FTT_Developed,Transfer_Learning_FTT_Developed,0.5910501480102539,1.4160360395908356,2.000205471701469,58860,236,0.8052452802658081,0.660865068435669,0.7320746779441833,0.3872303366661072,0.1685422658920288,0.792343258857727
ARE,D_full,Transfer_Learning_FTT_Full,0.688466082016627,1.1535594364007313,1.7340216337312315,84987,236,0.862567663192749,0.6668850183486938,0.8676351308822632,0.40276670455932617,0.4697379469871521,0.8612040281295776
ARE,D_full_dev,Transfer_Learning_FTT_Full_Developed,0.5617826282978058,1.409972886244456,2.051954996761804,58860,236,0.8104473948478699,0.6275831460952759,0.8408416509628296,0.23700451850891113,-0.01834845542907715,0.8731675148010254
CHE,C,Transfer_Learning,0.8438142538070679,0.9439930568138758,1.2971258310982916,84192,1031,0.9057661294937134,0.8559854626655579,0.9302053451538086,0.6188416481018066,0.8094204664230347,0.9426664710044861
CHE,C_dev,Transfer_Learning_Developed,0.8584944804509481,0.8707432001829147,1.2260185355720739,58065,1031,0.9067267775535583,0.8772404193878174,0.9472245573997498,0.6342564821243286,0.8284907937049866,0.9570278525352478
CHE,Transfer_Learning_FTT,Transfer_Learning_FTT,0.7764563957850138,1.1027298768361409,1.5893844173893743,84192,1031,0.8354186415672302,0.8462911248207092,0.8921516537666321,0.5133918523788452,0.6512997150421143,0.920185387134552
CHE,Transfer_Learning_FTT_Developed,Transfer_Learning_FTT_Developed,0.752002994219462,1.1156230469544728,1.6384497135270273,58065,1031,0.8279309272766113,0.8321583867073059,0.90155029296875,0.363341748714447,0.6637755036354065,0.9232611060142517
CHE,D_full,Transfer_Learning_FTT_Full,0.7968677977720896,0.980365072687467,1.4810608931028193,84192,1031,0.890573263168335,0.860103964805603,0.9230328798294067,0.4596966505050659,0.7038216590881348,0.9439783692359924
