country,experiment_type,experiment_type_full,R2_Average,MAE_Average,RMSE_Average,training_samples,valid_training_samples,data_efficiency,log_Scope1,log_Scope2,log_Scope3_upstream,log_Scope3_downLA,log_Scope3_prod,log_Scope_total
CHN,A,Country_Self_Modeling,0.8820840618530777,0.6673426317047269,1.0108893398798957,23057,9790,0.4245999045842911,0.885432301152884,0.8710987770525174,0.9655172311387163,0.7843810084633807,0.8372641654910544,0.9488108878199133
CHN,B,Global_Baseline,0.658078217827696,1.3014941747780537,1.7151929330521343,71235,0,0.0,0.6111646494926507,0.6651613801588564,0.8039342603319437,0.5112987694828819,0.5726541822185114,0.7842560652813326
CHN,B_dev,Developed_Baseline,0.6801576708843772,1.24599157274753,1.6608279875708452,59096,0,0.0,0.6429113460079273,0.6800079955643759,0.8376252758813029,0.5168625220087887,0.5891464937414901,0.8143923921023779
SWE,A,Country_Self_Modeling,0.8220876780419196,0.9259902851490072,1.343051062683591,3163,947,0.2993993044577932,0.8328259560810032,0.8368766715661489,0.9706271709631668,0.5794266302257323,0.7497086930014707,0.9630609464139954
SWE,B,Global_Baseline,0.7259351955839132,1.2447239974565532,1.7360816208571925,83868,0,0.0,0.6881006984863618,0.746125456950039,0.9219776345700735,0.5020390003945066,0.5883317929608329,0.909036590141665
SWE,B_dev,Developed_Baseline,0.7262838798458838,1.248763925401179,1.72604098305452,57741,0,0.0,0.677021149824852,0.7497625796515326,0.9306002176634722,0.48408196897333944,0.610904719447259,0.9053326435148478
DNK,A,Country_Self_Modeling,0.7514825492566956,1.1747511636994277,1.749954046556175,881,203,0.2304199772985244,0.8514255004299355,0.8286601298824956,0.9716287413797331,0.7121104876286178,0.1858503142540029,0.9592201219653885
DNK,B,Global_Baseline,0.6414559097195316,1.5001414670231794,2.0337927191879452,84932,0,0.0,0.7740400808228669,0.6767203793074625,0.9164352824982904,0.311735622942688,0.26498734168638083,0.9048167510595007
DNK,B_dev,Developed_Baseline,0.6468298956645293,1.5228139235300484,2.0365111518457444,58805,0,0.0,0.8022763203311457,0.7067608717164675,0.8253640344702842,0.38949084540096823,0.3277630088887664,0.8293242931795438
PHL,A,Country_Self_Modeling,0.8057242291083938,0.907125191477055,1.4168570419551443,990,278,0.2808080808080808,0.873596749774575,0.8335870479091025,0.9432205409549839,0.6253019737828163,0.6589273810102181,0.8997116812186671
PHL,B,Global_Baseline,0.6056637985110458,1.476049070593562,1.9706258171671012,84825,0,0.0,0.6162945455260036,0.4399631516536264,0.6803750124211113,0.6542165293575817,0.563865263176857,0.6792682889310946
PHL,B_dev,Developed_Baseline,0.5290968695508357,1.6506491983546718,2.136831531560701,59096,0,0.0,0.5888636955592483,0.40241422618206835,0.4869242967706544,0.6146317949655671,0.5100742879576213,0.571672915869855
LUX,A,Country_Self_Modeling,0.7997816550940441,1.1410748233932786,1.5708288467397402,469,125,0.26652452025586354,0.9544316123750615,0.7553550933363837,0.9301221016832564,0.587403043185425,0.6320848221772499,0.9392932578068881
LUX,B,Global_Baseline,0.7295966120210134,1.3760712652510134,1.8636231932035097,85044,0,0.0,0.813659510385782,0.8224471695699861,0.9490943849655712,0.5463367383036131,0.3116842249115166,0.9343576439896122
LUX,B_dev,Developed_Baseline,0.710335596197179,1.430384293057237,1.921455979769635,58917,0,0.0,0.8253652671050139,0.822042680580901,0.9492597980860712,0.49341654607429797,0.2367634746107099,0.935165810726081
NOR,A,Country_Self_Modeling,0.7746478335959198,1.1909838685825451,1.6964880994287561,1243,340,0.2735317779565567,0.7451627721465931,0.7873751410730827,0.9403103576154547,0.7202262842371443,0.5185699626272495,0.9362424838759943
NOR,B,Global_Baseline,0.615368503299517,1.694628124157976,2.2937507841115754,84737,0,0.0,0.6767278432290167,0.5795845643245935,0.9061929119923576,0.3121627361056679,0.3412736882564653,0.8762692758890012
NOR,B_dev,Developed_Baseline,0.6008517436936652,1.6810930203149346,2.321473586937449,58610,0,0.0,0.6807325031186625,0.5139790544046443,0.9145006051310937,0.29056312053888766,0.3203919949246581,0.8849431840440446
AUS,A,Country_Self_Modeling,0.8467581724696478,0.8641312471393799,1.3560523753591927,6644,1554,0.23389524382901866,0.8366942701672085,0.8609698068373811,0.9598303583744492,0.7862072551759158,0.7033976146020161,0.9334497296609161
AUS,B,Global_Baseline,0.7415706625421583,1.2971551393148608,1.8351828565266761,83003,0,0.0,0.7601307452941913,0.7537701979150871,0.9088620488070263,0.5951098893658763,0.560251291507571,0.8712998023631982
AUS,B_dev,Developed_Baseline,0.7550148334719976,1.2469219687246826,1.7834641853494544,56876,0,0.0,0.768868248667406,0.7796150715239263,0.9125179554561226,0.5967447861982174,0.5812751793770853,0.8910677596092282
FRA,A,Country_Self_Modeling,0.8619888287399591,0.8308436103646724,1.2766249861307217,4011,977,0.24358015457491897,0.9252112753420529,0.8892827330974485,0.969855456195812,0.6387370162631507,0.7786828787650222,0.9701636127762686
FRA,B,Global_Baseline,0.7235569405519913,1.3505900596085556,1.8423776730110761,83826,0,0.0,0.8206319181209345,0.7778524715430083,0.8956640751399805,0.3621986429173667,0.5861887265372998,0.8988058090533583
FRA,B_dev,Developed_Baseline,0.732062385122641,1.324570355212993,1.8141001238169105,57699,0,0.0,0.8199433161011916,0.8051079200615188,0.9101161566789214,0.371288331215908,0.5920898706421183,0.8938287160361889
ESP,A,Country_Self_Modeling,0.8378761031582139,0.9779106298213919,1.3665467245991454,1461,305,0.20876112251882273,0.8738389183058557,0.8713878454885478,0.9172482856193861,0.6519597152007106,0.7636226043927974,0.949199249941986
ESP,B,Global_Baseline,0.6003588448788312,1.6466171099696918,2.128219256933338,84786,0,0.0,0.6892865624618356,0.6603870828552983,0.834362357094113,0.23342463123998713,0.3410042695116705,0.843688166110082
ESP,B_dev,Developed_Baseline,0.6260152214531093,1.5433335580021652,2.0702136209482727,58659,0,0.0,0.6999649324702799,0.741709589793186,0.8842194986130317,0.24336625173025284,0.31299204540166414,0.8738390107102411
ARE,A,Country_Self_Modeling,0.7171183441371496,1.10806133807807,1.615051076697184,491,164,0.3340122199592668,0.7637763231342058,0.6869822134832464,0.8986870616718234,0.5176475329184169,0.5554496210488293,0.8801673125663758
