country,labeled_samples,R2_Average_C,R2_log_Scope1_C,R2_log_Scope2_C,R2_log_Scope3_upstream_C,R2_log_Scope3_downLA_C,R2_log_Scope3_prod_C,R2_log_Scope_total_C,R2_Average_CT,R2_log_Scope1_CT,R2_log_Scope2_CT,R2_log_Scope3_upstream_CT,R2_log_Scope3_downLA_CT,R2_log_Scope3_prod_CT,R2_log_Scope_total_CT
FRA,1397,0.8232229749361674,0.8758857250213623,0.825248122215271,0.9298193454742432,0.6445832252502441,0.7384493350982666,0.9253520965576172,0.7048257722326801,0.8348063311359986,0.7941141869773471,0.8986413852922656,0.5915299320560956,0.2119256842762508,0.897937113658123
SWE,1355,0.8217016359170278,0.7680065035820007,0.8179645538330078,0.927184283733368,0.71019446849823,0.7806262373924255,0.9262337684631348,0.681339342239425,0.6774688556044344,0.7516108638589317,0.8896837733386298,0.5106991261382055,0.3627985906560698,0.8957748438402788
DEU,1349,0.81935582558314,0.8593058586120605,0.8427369594573975,0.915115773677826,0.6598539352416992,0.7195930480957031,0.919529378414154,0.7245998739795884,0.7884161589933321,0.7827330218796429,0.869553267031314,0.5607552280943912,0.4744729524235442,0.8716686154553059
MYS,1177,0.8218373656272888,0.8176480531692505,0.7988563179969788,0.9217047691345216,0.7755564451217651,0.7147849798202515,0.9024736285209656,0.6601547095343379,0.7395633870265534,0.648305037964813,0.8164918213043221,0.4456381217797192,0.4728622647995457,0.8380676243310736
THA,1155,0.8464504877726237,0.8708979487419128,0.7980642318725586,0.9323030114173888,0.674094557762146,0.8968315720558167,0.9065116047859192,0.6682730460906644,0.7278283255899035,0.699205482991458,0.8402301548971624,0.6917839827153458,0.2476410505281233,0.8029492798219937
CHE,1031,0.8438142538070679,0.9057661294937134,0.8559854626655579,0.9302053451538086,0.6188416481018066,0.8094204664230347,0.942666471004486,0.7316874094623537,0.8272558048733148,0.7947116421878205,0.870064201294021,0.6129839457132873,0.4002268646868758,0.884881998018803
BRA,1020,0.8070773283640543,0.874413251876831,0.7184319496154785,0.9259843826293944,0.7087099552154541,0.6787096261978149,0.936214804649353,0.6050191096067069,0.7582481578171778,0.5467706084838442,0.8279927530161333,0.3602331801028973,0.2966206581419053,0.8402493000782839
IDN,942,0.8226760526498159,0.8537638783454895,0.7429627180099487,0.9482148885726928,0.6089364290237427,0.873494565486908,0.9086838364601136,0.6650016682535597,0.7771534512683402,0.5877266857412091,0.9058549236092458,0.6673589540550877,0.1731552199448885,0.8787607749025867
SGP,817,0.7643516759077708,0.6214818954467773,0.6672929525375366,0.9093378186225892,0.7293206453323364,0.7842440009117126,0.8744327425956726,0.636215139675867,0.5617697815693341,0.5825617151611651,0.8520679340720119,0.6157594052561159,0.3922276447727905,0.8129043572237842
SAU,806,0.9038212696711222,0.9288008213043212,0.9252507090568542,0.9304000735282898,0.8439328670501709,0.8423360586166382,0.952207088470459,0.7787152948336703,0.8825086305298651,0.8696031719037698,0.8976254141744783,0.6011141684503132,0.5052893441476971,0.9161510397958986
ISR,784,0.8705805937449137,0.9056881666183472,0.8445850014686584,0.9203665256500244,0.8644376993179321,0.7489752769470215,0.9394308924674988,0.6622134228488722,0.8104287725358633,0.6693296085973346,0.8147780460128897,0.327459796041362,0.518343972187893,0.8329403417178911
ZAF,713,0.8561119139194489,0.8853474259376526,0.9049028754234314,0.9245201349258424,0.6700946092605591,0.8067686557769775,0.9450377821922302,0.6213066872998859,0.7631904232027742,0.7596019386732333,0.7605774915908734,0.4808536797333552,0.1656510198540566,0.7979655707450226
ITA,683,0.8688125113646189,0.9143838882446288,0.8944933414459229,0.9351200461387634,0.6766662001609802,0.852806031703949,0.9394055604934692,0.7138875039355903,0.8536830155320657,0.8279361735080873,0.888371670311702,0.5598844964600047,0.2545731543535838,0.8988765134480979
TUR,614,0.8345339894294739,0.8623225092887878,0.7925724983215332,0.8773167133331299,0.7603328824043274,0.8253461122512817,0.8893132209777832,0.4724705010183345,0.4650069631367987,0.5452001755942146,0.6342526190313642,0.4630799126124519,0.238263778813825,0.4890195569213524
